Dataset,Split,Method,n_queries,rho,uncertainty_k,candidate_pool,mean_alpha,mean_SU,mean_LU,R@1,count@1,R@5,count@5,R@10,count@10
AmsterTime,full,B1 visual-only,1231,,,,,,,43.46060113728676,535,63.444354183590576,781,70.18683996750609,864
AmsterTime,full,B2 fixed fusion,1231,,,,0.5,,,43.623070674248574,537,65.80016246953696,810,73.43623070674249,904
AmsterTime,full,V1 sigmoid+threshold,1231,,,,0.8428285835891867,,,43.21689683184403,532,63.769293257514214,785,70.18683996750609,864
AmsterTime,full,V2 calibrated precision,1231,3.0,10.0,10.0,0.7169834971427917,0.7286254167556763,0.901530385017395,44.35418359057677,546,65.63769293257515,808,70.18683996750609,864
MSLS-val held-out,heldout,B1 visual-only,518,,,,,,,84.74903474903475,439,90.54054054054053,469,93.05019305019306,482
MSLS-val held-out,heldout,B2 fixed fusion,518,,,,0.5,,,84.74903474903475,439,91.5057915057915,474,93.62934362934364,485
MSLS-val held-out,heldout,V1 sigmoid+threshold,518,,,,0.8858127923945661,,,85.52123552123551,443,91.11969111969111,472,93.05019305019306,482
MSLS-val held-out,heldout,V2 calibrated precision,518,3.0,10.0,10.0,0.723717212677002,0.7153035402297974,0.9160003662109375,85.32818532818533,442,91.31274131274131,473,93.05019305019306,482
Nordland-clean,full,B1 visual-only,400,,,,,,,52.75,211,76.25,305,87.75,351
Nordland-clean,full,B2 fixed fusion,400,,,,0.5,,,45.75,183,75.0,300,83.75,335
Nordland-clean,full,V1 sigmoid+threshold,400,,,,0.7936497592681991,,,53.0,212,76.0,304,87.75,351
Nordland-clean,full,V2 calibrated precision,400,3.0,10.0,10.0,0.7124812602996826,0.8055589199066162,0.895315408706665,50.5,202,78.75,315,87.75,351
