Dataset,Quadrant,n_queries,SU_median,LU_median,SU_only_R@1,Full_PWF_R@1,Difference_R@1_pp,SU_only_R@5,Full_PWF_R@5,Difference_R@5_pp
AmsterTime,Low-SU / Low-LU,322,0.7594807147979736,0.9075320363044739,67.08074534161491,66.45962732919256,-0.6211180124223574,85.40372670807453,86.33540372670807,0.9316770186335361
AmsterTime,Low-SU / High-LU,293,0.7594807147979736,0.9075320363044739,67.23549488054607,67.23549488054607,0.0,82.93515358361775,82.93515358361775,0.0
AmsterTime,High-SU / Low-LU,293,0.7594807147979736,0.9075320363044739,26.96245733788396,24.2320819112628,-2.730375426621162,48.122866894197955,48.80546075085324,0.6825938566552878
AmsterTime,High-SU / High-LU,323,0.7594807147979736,0.9075320363044739,19.814241486068113,19.814241486068113,0.0,45.82043343653251,44.58204334365325,-1.2383900928792642
MSLS held-out,Low-SU / Low-LU,148,0.7387239933013916,0.921858012676239,95.27027027027027,95.27027027027027,0.0,97.2972972972973,97.2972972972973,0.0
MSLS held-out,Low-SU / High-LU,111,0.7387239933013916,0.921858012676239,98.1981981981982,98.1981981981982,0.0,99.09909909909909,99.09909909909909,0.0
MSLS held-out,High-SU / Low-LU,111,0.7387239933013916,0.921858012676239,75.67567567567568,74.77477477477478,-0.9009009009008935,88.28828828828829,88.28828828828829,0.0
MSLS held-out,High-SU / High-LU,148,0.7387239933013916,0.921858012676239,74.32432432432432,73.64864864864865,-0.6756756756756772,81.75675675675676,81.75675675675676,0.0
Nordland-aligned,Low-SU / Low-LU,98,0.8270103931427002,0.9032793641090393,63.26530612244898,60.204081632653065,-3.0612244897959187,81.63265306122449,81.63265306122449,0.0
Nordland-aligned,Low-SU / High-LU,102,0.8270103931427002,0.9032793641090393,75.49019607843137,75.49019607843137,0.0,85.29411764705883,85.29411764705883,0.0
Nordland-aligned,High-SU / Low-LU,102,0.8270103931427002,0.9032793641090393,36.27450980392157,36.27450980392157,0.0,79.41176470588235,82.35294117647058,2.941176470588232
Nordland-aligned,High-SU / High-LU,98,0.8270103931427002,0.9032793641090393,27.55102040816326,29.591836734693878,2.040816326530617,65.3061224489796,65.3061224489796,0.0
