Dataset,Metric,Mechanism,Comparison,Difference_pp,CI_low,CI_high,bootstrap_p_two_sided,Significant_95CI_uncorrected,n_queries,n_boot,BH_FDR_q_value,Significant_after_BH_FDR_0.05,n_tests_in_family
AmsterTime,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.16246953696181787,-0.6498781478472826,0.3249390739236413,0.6370725854829035,False,1231,5000,1.0,False,27
AmsterTime,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.6498781478472826,-2.0308692120227456,0.7311129163281915,0.39992001599680066,False,1231,5000,0.8998200359928016,False,27
AmsterTime,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-3.249390739236402,-4.955320877335501,-1.7059301380990988,0.0003999200159968006,True,1231,5000,0.010797840431913617,True,27
AmsterTime,R@1,SU weighting,C SU-only - B Fixed-Top10,1.7059301380991043,0.32493907392363575,3.086921202274573,0.020795840831833633,True,1231,5000,0.14037192561487702,False,27
AmsterTime,R@5,SU weighting,C SU-only - B Fixed-Top10,0.4061738424045558,-0.4061738424045447,1.2185215272136563,0.39792041591681665,False,1231,5000,0.8998200359928016,False,27
AmsterTime,R@10,SU weighting,C SU-only - B Fixed-Top10,0.0,0.0,0.0,1.0,False,1231,5000,1.0,False,27
AmsterTime,R@1,LU increment,D Full PWF - C SU-only,-0.8123476848090949,-1.624695369618201,0.0,0.0691861627674465,False,1231,5000,0.23350329934013195,False,27
AmsterTime,R@5,LU increment,D Full PWF - C SU-only,0.08123476848090894,-0.5686433793663737,0.7311129163281915,0.914617076584683,False,1231,5000,1.0,False,27
AmsterTime,R@10,LU increment,D Full PWF - C SU-only,0.0,0.0,0.0,1.0,False,1231,5000,1.0,False,27
MSLS held-out,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,0.7722007722007707,0.19305019305019266,1.5444015444015524,0.03479304139172166,True,518,5000,0.15656868626274748,False,27
MSLS held-out,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,0.0,-0.9652509652509744,1.158301158301156,1.0,False,518,5000,1.0,False,27
MSLS held-out,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.579150579150578,-1.5444015444015524,0.38610038610038533,0.34273145370925817,False,518,5000,0.8998200359928016,False,27
MSLS held-out,R@1,SU weighting,C SU-only - B Fixed-Top10,0.19305019305019266,-0.7722007722007707,1.158301158301167,0.8530293941211757,False,518,5000,1.0,False,27
MSLS held-out,R@5,SU weighting,C SU-only - B Fixed-Top10,-0.19305019305019266,-0.5791505791505891,0.0,0.7530493901219756,False,518,5000,1.0,False,27
MSLS held-out,R@10,SU weighting,C SU-only - B Fixed-Top10,0.0,0.0,0.0,1.0,False,518,5000,1.0,False,27
MSLS held-out,R@1,LU increment,D Full PWF - C SU-only,-0.38610038610038533,-1.158301158301156,0.38610038610038533,0.4375124975004999,False,518,5000,0.9086798025010382,False,27
MSLS held-out,R@5,LU increment,D Full PWF - C SU-only,0.0,0.0,0.0,1.0,False,518,5000,1.0,False,27
MSLS held-out,R@10,LU increment,D Full PWF - C SU-only,0.0,0.0,0.0,1.0,False,518,5000,1.0,False,27
Nordland-aligned,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,1.749999999999996,0.2500000000000002,3.4999999999999973,0.041991601679664065,True,400,5000,0.16196760647870426,False,27
Nordland-aligned,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,3.500000000000003,1.0000000000000009,6.000000000000005,0.009998000399920015,True,400,5000,0.1349730053989202,False,27
Nordland-aligned,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,3.9999999999999925,1.0000000000000009,7.000000000000006,0.015996800639872025,True,400,5000,0.14037192561487702,False,27
Nordland-aligned,R@1,SU weighting,C SU-only - B Fixed-Top10,3.2499999999999973,0.5000000000000004,6.0,0.027994401119776045,True,400,5000,0.15116976604679064,False,27
Nordland-aligned,R@5,SU weighting,C SU-only - B Fixed-Top10,-0.5000000000000004,-2.2499999999999964,1.2499999999999956,0.6726654669066187,False,400,5000,1.0,False,27
Nordland-aligned,R@10,SU weighting,C SU-only - B Fixed-Top10,0.0,0.0,0.0,1.0,False,400,5000,1.0,False,27
Nordland-aligned,R@1,LU increment,D Full PWF - C SU-only,-0.24999999999999467,-2.2500000000000075,1.9999999999999962,0.9098180363927214,False,400,5000,1.0,False,27
Nordland-aligned,R@5,LU increment,D Full PWF - C SU-only,0.7499999999999951,-0.5000000000000004,2.0000000000000018,0.34953009398120377,False,400,5000,0.8998200359928016,False,27
Nordland-aligned,R@10,LU increment,D Full PWF - C SU-only,0.0,0.0,0.0,1.0,False,400,5000,1.0,False,27
