Dataset,Method,R@1,R@5,R@10,n_queries
AmsterTime,A Fixed-FullDB,43.623070674248574,65.80016246953696,73.43623070674249,1231
AmsterTime,B Fixed-Top10,43.46060113728676,65.15028432168968,70.18683996750609,1231
AmsterTime,C SU-only,45.166531275385864,65.55645816409424,70.18683996750609,1231
AmsterTime,D Full PWF,44.35418359057677,65.63769293257515,70.18683996750609,1231
MSLS held-out,A Fixed-FullDB,84.74903474903475,91.5057915057915,93.62934362934364,518
MSLS held-out,B Fixed-Top10,85.52123552123551,91.5057915057915,93.05019305019306,518
MSLS held-out,C SU-only,85.71428571428571,91.31274131274131,93.05019305019306,518
MSLS held-out,D Full PWF,85.32818532818533,91.31274131274131,93.05019305019306,518
Nordland-aligned,A Fixed-FullDB,45.75,75.0,83.75,400
Nordland-aligned,B Fixed-Top10,47.5,78.5,87.75,400
Nordland-aligned,C SU-only,50.74999999999999,78.0,87.75,400
Nordland-aligned,D Full PWF,50.5,78.75,87.75,400
