Dataset,Method,R@1,R@5,R@10,count@1,n_queries
AmsterTime,B1_visual_only_full_db,43.46060113728676,63.444354183590576,70.18683996750609,535,1231
AmsterTime,Language_only_full_db,9.423233143785541,17.95288383428107,23.639317627944763,116,1231
AmsterTime,B2_fixed_0.5_full_db,43.623070674248574,65.80016246953696,73.43623070674249,537,1231
AmsterTime,V2_precision_weighted_pool10,44.35418359057677,65.63769293257515,70.18683996750609,546,1231
AmsterTime,LogReg_learned_reranker_pool10,44.679122664500404,64.98781478472786,70.18683996750609,550,1231
MSLS-val held-out,B1_visual_only_full_db,84.74903474903475,90.54054054054053,93.05019305019306,439,518
MSLS-val held-out,Language_only_full_db,27.606177606177607,45.173745173745175,53.66795366795367,143,518
MSLS-val held-out,B2_fixed_0.5_full_db,84.74903474903475,91.5057915057915,93.62934362934364,439,518
MSLS-val held-out,V2_precision_weighted_pool10,85.32818532818533,91.31274131274131,93.05019305019306,442,518
MSLS-val held-out,LogReg_learned_reranker_pool10,85.71428571428571,90.73359073359073,93.05019305019306,444,518
Nordland-clean,B1_visual_only_full_db,52.75,76.25,87.75,211,400
Nordland-clean,Language_only_full_db,18.5,40.5,54.25,74,400
Nordland-clean,B2_fixed_0.5_full_db,45.75,75.0,83.75,183,400
Nordland-clean,V2_precision_weighted_pool10,50.5,78.75,87.75,202,400
Nordland-clean,LogReg_learned_reranker_pool10,51.0,77.75,87.75,204,400
