Dataset,Metric,Comparison,Difference_pp,CI_low,CI_high,bootstrap_p_two_sided,Significant_by_95CI_uncorrected,n_queries,n_boot,rho,candidate_pool,uncertainty_k,BH_FDR_q_value,Significant_after_BH_FDR_0.05,n_tests_in_family
AmsterTime,R@1,V2_precision_weighted - B1_visual_only,0.8935824532900094,-0.6498781442642212,2.4370429515838623,0.2887422515496901,False,1231,5000,3.0,10,10,0.7092981403719256,False,36
AmsterTime,R@5,V2_precision_weighted - B1_visual_only,2.1933387489845635,1.1372867822647095,3.2493908405303955,0.0003999200159968006,True,1231,5000,3.0,10,10,0.004799040191961607,True,36
AmsterTime,R@10,V2_precision_weighted - B1_visual_only,0.0,0.0,0.0,1.0,False,1231,5000,3.0,10,10,1.0,False,36
AmsterTime,R@1,V2_precision_weighted - B2_fixed_0.5,0.7311129163281915,-0.5686433911323547,2.030869245529175,0.2955408918216357,False,1231,5000,3.0,10,10,0.7092981403719256,False,36
AmsterTime,R@5,V2_precision_weighted - B2_fixed_0.5,-0.16246953696181787,-1.7059301137924194,1.3809911012649536,0.9014197160567886,False,1231,5000,3.0,10,10,1.0,False,36
AmsterTime,R@10,V2_precision_weighted - B2_fixed_0.5,-3.249390739236402,-4.955320835113525,-1.7059301137924194,0.0003999200159968006,True,1231,5000,3.0,10,10,0.004799040191961607,True,36
AmsterTime,R@1,V2_precision_weighted - V1_sigmoid_threshold,1.1372867587327362,-0.24370430409908295,2.518277883529663,0.11597680463907219,False,1231,5000,3.0,10,10,0.37956045154605444,False,36
AmsterTime,R@5,V2_precision_weighted - V1_sigmoid_threshold,1.8683996750609277,0.9748172163963318,2.843216896057129,0.0003999200159968006,True,1231,5000,3.0,10,10,0.004799040191961607,True,36
AmsterTime,R@10,V2_precision_weighted - V1_sigmoid_threshold,0.0,0.0,0.0,1.0,False,1231,5000,3.0,10,10,1.0,False,36
AmsterTime,R@1,V2_precision_weighted - LogReg_learned_reranker,-0.32493907392363575,-1.2997562885284424,0.6498781442642212,0.5590881823635273,False,1231,5000,3.0,10,10,0.9678791514424386,False,36
