alpha,dataset,R1,R5,R10
0.55,amstertime,43.86677497969131,65.63769293257515,70.18683996750609
0.55,msls,85.52123552123551,91.5057915057915,93.05019305019306
0.55,nordland,49.0,78.25,87.75
0.7,amstertime,44.679122664500404,65.39398862713242,70.18683996750609
0.7,msls,86.10038610038609,91.31274131274131,93.05019305019306
0.7,nordland,51.24999999999999,77.0,87.75
0.75,amstertime,44.43541835905768,65.06904955320877,70.18683996750609
0.75,msls,85.71428571428571,91.11969111969111,93.05019305019306
0.75,nordland,51.5,76.75,87.75
0.8,amstertime,44.43541835905768,64.58164094232332,70.18683996750609
0.8,msls,84.94208494208493,91.11969111969111,93.05019305019306
0.8,nordland,51.5,76.5,87.75
