tau,theta,dataset,R1,R5,R10
0.25,0.07,amstertime,43.37936636880585,63.6068237205524,70.18683996750609
0.25,0.07,msls,84.74903474903475,90.54054054054053,93.05019305019306
0.25,0.07,nordland,52.5,77.0,87.75
0.5,0.07,amstertime,43.46060113728676,63.6068237205524,70.18683996750609
0.5,0.07,msls,84.74903474903475,90.54054054054053,93.05019305019306
0.5,0.07,nordland,52.75,77.0,87.75
1.0,0.07,amstertime,43.37936636880585,63.6068237205524,70.18683996750609
1.0,0.07,msls,84.74903474903475,90.54054054054053,93.05019305019306
1.0,0.07,nordland,53.25,77.0,87.75
0.25,0.08,amstertime,43.37936636880585,63.444354183590576,70.18683996750609
0.25,0.08,msls,84.55598455598455,90.54054054054053,93.05019305019306
0.25,0.08,nordland,52.25,77.0,87.75
0.5,0.08,amstertime,43.37936636880585,63.444354183590576,70.18683996750609
0.5,0.08,msls,84.55598455598455,90.54054054054053,93.05019305019306
0.5,0.08,nordland,52.25,77.0,87.75
1.0,0.08,amstertime,43.29813160032494,63.444354183590576,70.18683996750609
1.0,0.08,msls,84.55598455598455,90.54054054054053,93.05019305019306
1.0,0.08,nordland,52.5,77.0,87.75
