backbone,dataset,method,method_R1,best_constant_R1,best_constant_R1_alpha,method_minus_best_constant_R1,method_R5,best_constant_R5,best_constant_R5_alpha,method_minus_best_constant_R5
CosPlace,amstertime,SU-only,35.25588952071487,37.36799350121852,0.59,-2.1121039805036546,54.18359057676686,56.62063363119415,0.47,-2.437043054427292
CosPlace,amstertime,Full PWF,35.580828594638504,37.36799350121852,0.59,-1.787164906580017,54.752233956133225,56.62063363119415,0.47,-1.8683996750609282
CosPlace,amstertime,Source-tuned SG,35.90576766856214,37.36799350121852,0.59,-1.4622258326563795,55.56458164094232,56.62063363119415,0.47,-1.0560519902518308
CosPlace,msls,SU-only,80.11583011583011,80.6949806949807,0.64,-0.5791505791505926,85.13513513513513,85.52123552123551,0.51,-0.3861003861003809
CosPlace,msls,Full PWF,80.5019305019305,80.6949806949807,0.64,-0.19305019305019755,85.13513513513513,85.52123552123551,0.51,-0.3861003861003809
CosPlace,msls,Source-tuned SG,79.92277992277992,80.6949806949807,0.64,-0.772200772200776,85.52123552123551,85.52123552123551,0.51,0.0
CosPlace,nordland,SU-only,56.25,56.75,1.0,-0.5,82.5,82.5,0.75,0.0
CosPlace,nordland,Full PWF,55.75,56.75,1.0,-1.0,81.0,82.5,0.75,-1.5
CosPlace,nordland,Source-tuned SG,54.50000000000001,56.75,1.0,-2.249999999999993,80.75,82.5,0.75,-1.75
EigenPlaces,amstertime,SU-only,45.166531275385864,45.08529650690495,0.65,0.08123476848091116,65.55645816409424,65.88139723801787,0.63,-0.3249390739236304
EigenPlaces,amstertime,Full PWF,44.35418359057677,45.08529650690495,0.65,-0.7311129163281862,65.63769293257515,65.88139723801787,0.63,-0.24370430544271926
EigenPlaces,amstertime,Source-tuned SG,43.29813160032494,45.08529650690495,0.65,-1.78716490658001,63.444354183590576,65.88139723801787,0.63,-2.437043054427292
EigenPlaces,msls,SU-only,85.71428571428571,86.10038610038609,0.72,-0.3861003861003809,91.31274131274131,91.6988416988417,0.44,-0.3861003861003951
EigenPlaces,msls,Full PWF,85.32818532818533,86.10038610038609,0.72,-0.7722007722007618,91.31274131274131,91.6988416988417,0.44,-0.3861003861003951
EigenPlaces,msls,Source-tuned SG,84.74903474903475,86.10038610038609,0.72,-1.3513513513513402,90.54054054054053,91.6988416988417,0.44,-1.158301158301171
EigenPlaces,nordland,SU-only,50.74999999999999,53.25,0.91,-2.500000000000007,78.0,78.5,0.62,-0.5
EigenPlaces,nordland,Full PWF,50.5,53.25,0.91,-2.75,78.75,78.5,0.62,0.25
EigenPlaces,nordland,Source-tuned SG,52.5,53.25,0.91,-0.75,76.5,78.5,0.62,-2.0
