backbone,dataset,method,mean,std,q25,median,q75,min,max
EigenPlaces,amstertime,Source-tuned constant,0.84,0.0,0.84,0.84,0.84,0.84,0.84
EigenPlaces,amstertime,SU-only,0.7378988265991211,0.11500325053930283,0.6398186087608337,0.7205908298492432,0.8281596899032593,0.5334849953651428,0.9859164357185364
EigenPlaces,amstertime,Full PWF,0.7170520424842834,0.17273350059986115,0.6288101673126221,0.7502618432044983,0.8409484624862671,0.03783830255270004,0.9859134554862976
EigenPlaces,amstertime,Source-tuned SG,0.9911492466926575,0.07051540166139603,1.0,1.0,1.0,0.21078501641750336,1.0
EigenPlaces,msls,Source-tuned constant,0.84,0.0,0.84,0.84,0.84,0.84,0.84
EigenPlaces,msls,SU-only,0.7390809655189514,0.1180381327867508,0.6398231983184814,0.7290031909942627,0.8373185992240906,0.5262445211410522,0.9707838296890259
EigenPlaces,msls,Full PWF,0.7237187027931213,0.160059854388237,0.6359667181968689,0.7503377795219421,0.8418790102005005,0.00896485336124897,0.9745380282402039
EigenPlaces,msls,Source-tuned SG,0.9945989847183228,0.04976920038461685,1.0,1.0,1.0,0.2685873806476593,1.0
EigenPlaces,nordland,Source-tuned constant,0.84,0.0,0.84,0.84,0.84,0.84,0.84
EigenPlaces,nordland,SU-only,0.7375487685203552,0.11268668621778488,0.6459143757820129,0.7221493124961853,0.8233781456947327,0.51552414894104,0.9863682389259338
EigenPlaces,nordland,Full PWF,0.7124813795089722,0.182972714304924,0.6101776361465454,0.7486363649368286,0.8422877192497253,0.08601315319538116,0.9907431602478027
EigenPlaces,nordland,Source-tuned SG,0.9465360045433044,0.17937010526657104,1.0,1.0,1.0,0.1972552239894867,1.0
CosPlace,amstertime,Source-tuned constant,0.63,0.0,0.63,0.63,0.63,0.63,0.63
CosPlace,amstertime,SU-only,0.8772150874137878,0.05921502038836479,0.8304190635681152,0.8702235221862793,0.925789475440979,0.748346209526062,0.997559666633606
CosPlace,amstertime,Full PWF,0.8551746606826782,0.12671604752540588,0.8183313608169556,0.889162540435791,0.933341920375824,0.04156604781746864,0.9961798191070557
CosPlace,amstertime,Source-tuned SG,0.7388194799423218,0.2557246685028076,0.4777078628540039,0.6686522960662842,1.0,0.3755367696285248,1.0
CosPlace,msls,Source-tuned constant,0.6300000000000001,1.1102230246251565e-16,0.63,0.63,0.63,0.63,0.63
CosPlace,msls,SU-only,0.8772871494293213,0.060679685324430466,0.8244564533233643,0.8760370016098022,0.9250665903091431,0.7665072083473206,0.9942649602890015
CosPlace,msls,Full PWF,0.8578324913978577,0.12206193804740906,0.8176828026771545,0.8889560699462891,0.9361257553100586,0.14497680962085724,0.9958037734031677
CosPlace,msls,Source-tuned SG,0.7960807681083679,0.24521900713443756,0.5276037454605103,1.0,1.0,0.3787163197994232,1.0
CosPlace,nordland,Source-tuned constant,0.63,0.0,0.63,0.63,0.63,0.63,0.63
CosPlace,nordland,SU-only,0.8777995109558105,0.061524294316768646,0.8388176560401917,0.8775342702865601,0.9258295297622681,0.7419413924217224,0.9965735673904419
CosPlace,nordland,Full PWF,0.851858377456665,0.1276804655790329,0.8218728303909302,0.8856914043426514,0.9312184453010559,0.262109637260437,0.9965988993644714
CosPlace,nordland,Source-tuned SG,0.7729756236076355,0.25174930691719055,0.5034939050674438,1.0,1.0,0.3663313686847687,1.0
