backbone,dataset,alpha,R1,R5,R10
EigenPlaces,amstertime,0.0,23.47684809098294,58.48903330625508,70.18683996750609
EigenPlaces,amstertime,0.01,24.37043054427295,58.976441917140534,70.18683996750609
EigenPlaces,amstertime,0.02,25.426482534524773,59.30138099106418,70.18683996750609
EigenPlaces,amstertime,0.03,25.832656376929325,59.545085296506905,70.18683996750609
EigenPlaces,amstertime,0.04,26.482534524776604,59.78878960194963,70.18683996750609
EigenPlaces,amstertime,0.05,26.888708367181152,59.545085296506905,70.18683996750609
EigenPlaces,amstertime,0.06,27.701056051990253,59.78878960194963,70.18683996750609
EigenPlaces,amstertime,0.07,27.94476035743298,60.19496344435419,70.18683996750609
EigenPlaces,amstertime,0.08,28.107229894394802,60.2761982128351,70.18683996750609
EigenPlaces,amstertime,0.09,28.67587327376117,60.68237205523964,70.18683996750609
EigenPlaces,amstertime,0.1,29.24451665312754,61.00731112916328,70.18683996750609
EigenPlaces,amstertime,0.11,29.325751421608448,61.16978066612511,70.18683996750609
EigenPlaces,amstertime,0.12,30.056864337936638,61.25101543460602,70.18683996750609
EigenPlaces,amstertime,0.13,31.11291632818847,61.25101543460602,70.18683996750609
EigenPlaces,amstertime,0.14,31.51909017059301,61.494719740048744,70.18683996750609
EigenPlaces,amstertime,0.15,32.08773354995939,61.65718927701056,70.18683996750609
EigenPlaces,amstertime,0.16,32.73761169780666,61.73842404549147,70.18683996750609
EigenPlaces,amstertime,0.17,33.30625507717303,61.9821283509342,70.18683996750609
EigenPlaces,amstertime,0.18,33.95613322502031,62.30706742485784,70.18683996750609
EigenPlaces,amstertime,0.19,34.60601137286759,62.38830219333875,70.18683996750609
EigenPlaces,amstertime,0.2,35.01218521527213,62.63200649878148,70.18683996750609
EigenPlaces,amstertime,0.21,35.580828594638504,63.11941510966693,70.18683996750609
EigenPlaces,amstertime,0.22,35.743298131600326,63.52558895207149,70.18683996750609
EigenPlaces,amstertime,0.23,36.230706742485786,63.850528025995125,70.18683996750609
EigenPlaces,amstertime,0.24,36.96181965881397,64.01299756295694,70.18683996750609
EigenPlaces,amstertime,0.25,36.96181965881397,64.25670186839967,70.18683996750609
EigenPlaces,amstertime,0.26,37.205523964256706,64.4191714053615,70.18683996750609
EigenPlaces,amstertime,0.27,37.44922826969943,64.4191714053615,70.18683996750609
EigenPlaces,amstertime,0.28,37.692932575142166,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.29,37.85540211210398,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.3,38.18034118602762,64.74411047928513,70.18683996750609
EigenPlaces,amstertime,0.31,38.8302193338749,64.82534524776604,70.18683996750609
EigenPlaces,amstertime,0.32,39.23639317627945,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.33,39.480097481722176,64.90658001624695,70.18683996750609
EigenPlaces,amstertime,0.34,39.64256701868399,65.15028432168968,70.18683996750609
EigenPlaces,amstertime,0.35,40.21121039805037,65.2315190901706,70.18683996750609
EigenPlaces,amstertime,0.36,40.61738424045491,65.15028432168968,70.18683996750609
EigenPlaces,amstertime,0.37,40.861088545897644,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.38,41.26726238830219,64.90658001624695,70.18683996750609
EigenPlaces,amstertime,0.39,41.67343623070675,64.90658001624695,70.18683996750609
EigenPlaces,amstertime,0.4,41.99837530463038,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.41,42.1608448415922,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.42,42.48578391551584,65.15028432168968,70.18683996750609
EigenPlaces,amstertime,0.43,42.48578391551584,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.44,42.64825345247766,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.45,42.64825345247766,64.98781478472786,70.18683996750609
EigenPlaces,amstertime,0.46,42.89195775792039,65.06904955320877,70.18683996750609
EigenPlaces,amstertime,0.47,42.9731925264013,65.15028432168968,70.18683996750609
EigenPlaces,amstertime,0.48,43.21689683184403,65.2315190901706,70.18683996750609
EigenPlaces,amstertime,0.49,43.29813160032494,64.90658001624695,70.18683996750609
EigenPlaces,amstertime,0.5,43.46060113728676,65.15028432168968,70.18683996750609
EigenPlaces,amstertime,0.51,43.7855402112104,65.39398862713242,70.18683996750609
EigenPlaces,amstertime,0.52,43.70430544272949,65.47522339561333,70.18683996750609
EigenPlaces,amstertime,0.53,43.54183590576767,65.63769293257515,70.18683996750609
