backbone,top10_positive_count,n_queries,mean_LU,mean_SU,language_error_rate,language_error_rate_pct
CosPlace,0,42,0.8798083435921442,0.8231746511799949,1.0,100.0
CosPlace,1,46,0.8762155136336451,0.8057413995265961,0.9347826086956522,93.47826086956522
CosPlace,2,45,0.8661623848809137,0.8284947885407342,0.7333333333333333,73.33333333333333
CosPlace,3,56,0.8930296482784408,0.8264869653752872,0.6607142857142857,66.07142857142857
CosPlace,4,50,0.8896674084663391,0.7987718975543976,0.6,60.0
CosPlace,5,51,0.9087167802978965,0.792006559231702,0.39215686274509803,39.21568627450981
CosPlace,6,44,0.8904070366512645,0.8227344690398737,0.45454545454545453,45.45454545454545
CosPlace,7,31,0.8958183853856979,0.8251126485486184,0.16129032258064516,16.129032258064516
CosPlace,8,16,0.9412146024405956,0.8656015135347843,0.3125,31.25
CosPlace,9,9,0.9498089485698276,0.7933651407559713,0.1111111111111111,11.11111111111111
CosPlace,10,10,1.0,0.9895969986915588,0.0,0.0
EigenPlaces,0,49,0.9006963189767332,0.8249946041983001,1.0,100.0
EigenPlaces,1,45,0.8978634145524766,0.8209762579864925,0.9555555555555556,95.55555555555556
EigenPlaces,2,62,0.8857389851923911,0.8200003302866413,0.6935483870967742,69.35483870967742
EigenPlaces,3,49,0.8886387627951953,0.8246411717667872,0.673469387755102,67.3469387755102
EigenPlaces,4,65,0.8997580986756545,0.7687635962779705,0.5384615384615384,53.84615384615385
EigenPlaces,5,57,0.8997935391308969,0.7890332613074988,0.47368421052631576,47.368421052631575
EigenPlaces,6,36,0.879600938823488,0.8180365032619901,0.2777777777777778,27.77777777777778
EigenPlaces,7,23,0.8989912401074949,0.8012646073880403,0.5217391304347826,52.17391304347826
EigenPlaces,8,10,0.9344659745693207,0.7601650774478912,0.2,20.0
EigenPlaces,9,3,0.9270370205243429,0.7715228796005249,0.0,0.0
EigenPlaces,10,1,0.8883514404296875,0.8683128952980042,0.0,0.0
