backbone,dataset,method,R1,R5,R10,oracle_best_const_R1,oracle_best_const_R1_alpha,oracle_best_const_R5,oracle_best_const_R5_alpha
EigenPlaces,amstertime,Visual-only,43.37936636880585,63.444354183590576,70.18683996750609,45.08529650690495,0.65,65.88139723801787,0.63
EigenPlaces,amstertime,Source-tuned constant,44.272948822095856,64.58164094232332,70.18683996750609,45.08529650690495,0.65,65.88139723801787,0.63
EigenPlaces,amstertime,SU-only,45.166531275385864,65.55645816409424,70.18683996750609,45.08529650690495,0.65,65.88139723801787,0.63
EigenPlaces,amstertime,Full PWF,44.35418359057677,65.63769293257515,70.18683996750609,45.08529650690495,0.65,65.88139723801787,0.63
EigenPlaces,amstertime,Source-tuned SG,43.29813160032494,63.444354183590576,70.18683996750609,45.08529650690495,0.65,65.88139723801787,0.63
EigenPlaces,msls,Visual-only,84.74903474903475,90.54054054054053,93.05019305019306,86.10038610038609,0.72,91.6988416988417,0.44
EigenPlaces,msls,Source-tuned constant,84.94208494208493,90.54054054054053,93.05019305019306,86.10038610038609,0.72,91.6988416988417,0.44
EigenPlaces,msls,SU-only,85.71428571428571,91.31274131274131,93.05019305019306,86.10038610038609,0.72,91.6988416988417,0.44
EigenPlaces,msls,Full PWF,85.32818532818533,91.31274131274131,93.05019305019306,86.10038610038609,0.72,91.6988416988417,0.44
EigenPlaces,msls,Source-tuned SG,84.74903474903475,90.54054054054053,93.05019305019306,86.10038610038609,0.72,91.6988416988417,0.44
EigenPlaces,nordland,Visual-only,52.75,76.25,87.75,53.25,0.91,78.5,0.62
EigenPlaces,nordland,Source-tuned constant,53.0,76.0,87.75,53.25,0.91,78.5,0.62
EigenPlaces,nordland,SU-only,50.74999999999999,78.0,87.75,53.25,0.91,78.5,0.62
EigenPlaces,nordland,Full PWF,50.5,78.75,87.75,53.25,0.91,78.5,0.62
EigenPlaces,nordland,Source-tuned SG,52.5,76.5,87.75,53.25,0.91,78.5,0.62
CosPlace,amstertime,Visual-only,33.63119415109667,53.12753858651503,60.84484159220146,37.36799350121852,0.59,56.62063363119415,0.47
CosPlace,amstertime,Source-tuned constant,37.124289195775795,55.64581640942323,60.84484159220146,37.36799350121852,0.59,56.62063363119415,0.47
CosPlace,amstertime,SU-only,35.25588952071487,54.18359057676686,60.84484159220146,37.36799350121852,0.59,56.62063363119415,0.47
CosPlace,amstertime,Full PWF,35.580828594638504,54.752233956133225,60.84484159220146,37.36799350121852,0.59,56.62063363119415,0.47
CosPlace,amstertime,Source-tuned SG,35.90576766856214,55.56458164094232,60.84484159220146,37.36799350121852,0.59,56.62063363119415,0.47
CosPlace,msls,Visual-only,79.34362934362935,84.94208494208493,86.2934362934363,80.6949806949807,0.64,85.52123552123551,0.51
CosPlace,msls,Source-tuned constant,80.3088803088803,85.13513513513513,86.2934362934363,80.6949806949807,0.64,85.52123552123551,0.51
CosPlace,msls,SU-only,80.11583011583011,85.13513513513513,86.2934362934363,80.6949806949807,0.64,85.52123552123551,0.51
CosPlace,msls,Full PWF,80.5019305019305,85.13513513513513,86.2934362934363,80.6949806949807,0.64,85.52123552123551,0.51
CosPlace,msls,Source-tuned SG,79.92277992277992,85.52123552123551,86.2934362934363,80.6949806949807,0.64,85.52123552123551,0.51
CosPlace,nordland,Visual-only,56.75,81.5,89.5,56.75,1.0,82.5,0.75
CosPlace,nordland,Source-tuned constant,54.0,82.0,89.5,56.75,1.0,82.5,0.75
CosPlace,nordland,SU-only,56.25,82.5,89.5,56.75,1.0,82.5,0.75
CosPlace,nordland,Full PWF,55.75,81.0,89.5,56.75,1.0,82.5,0.75
CosPlace,nordland,Source-tuned SG,54.50000000000001,80.75,89.5,56.75,1.0,82.5,0.75
