backbone,dataset,k_positive,n_queries,observed_error_pct,chance_error_pct,observed_minus_chance_pp
EigenPlaces,amstertime,1,864,66.55092592592592,90.0,-23.449074074074073
EigenPlaces,msls,1,31,54.83870967741935,90.0,-35.161290322580655
EigenPlaces,msls,2,66,48.484848484848484,80.0,-31.51515151515152
EigenPlaces,msls,3,76,26.31578947368421,70.0,-43.68421052631579
EigenPlaces,msls,4,60,31.666666666666664,60.0,-28.333333333333332
EigenPlaces,msls,5,62,17.741935483870968,50.0,-32.25806451612903
EigenPlaces,msls,6,46,17.391304347826086,40.0,-22.608695652173914
EigenPlaces,msls,7,39,17.94871794871795,30.000000000000004,-12.051282051282056
EigenPlaces,msls,8,30,3.3333333333333335,19.999999999999996,-16.666666666666664
EigenPlaces,msls,9,23,0.0,9.999999999999998,-9.999999999999998
EigenPlaces,nordland,1,45,95.55555555555556,90.0,5.555555555555558
EigenPlaces,nordland,2,62,69.35483870967742,80.0,-10.64516129032258
EigenPlaces,nordland,3,49,67.3469387755102,70.0,-2.6530612244897944
EigenPlaces,nordland,4,65,53.84615384615385,60.0,-6.153846153846154
EigenPlaces,nordland,5,57,47.368421052631575,50.0,-2.631578947368424
EigenPlaces,nordland,6,36,27.77777777777778,40.0,-12.222222222222223
EigenPlaces,nordland,7,23,52.17391304347826,30.000000000000004,22.173913043478255
EigenPlaces,nordland,8,10,20.0,19.999999999999996,5.551115123125783e-15
EigenPlaces,nordland,9,3,0.0,9.999999999999998,-9.999999999999998
CosPlace,amstertime,1,749,61.815754339118826,90.0,-28.18424566088118
CosPlace,msls,1,36,44.44444444444444,90.0,-45.55555555555556
CosPlace,msls,2,75,33.33333333333333,80.0,-46.66666666666667
CosPlace,msls,3,78,23.076923076923077,70.0,-46.92307692307692
CosPlace,msls,4,58,18.96551724137931,60.0,-41.03448275862069
CosPlace,msls,5,57,19.298245614035086,50.0,-30.701754385964914
CosPlace,msls,6,40,22.5,40.0,-17.5
CosPlace,msls,7,32,9.375,30.000000000000004,-20.625000000000004
CosPlace,msls,8,17,11.76470588235294,19.999999999999996,-8.235294117647054
CosPlace,msls,9,19,5.263157894736842,9.999999999999998,-4.736842105263156
CosPlace,nordland,1,46,93.47826086956522,90.0,3.4782608695652195
CosPlace,nordland,2,45,73.33333333333333,80.0,-6.666666666666677
CosPlace,nordland,3,56,66.07142857142857,70.0,-3.9285714285714257
CosPlace,nordland,4,50,60.0,60.0,0.0
CosPlace,nordland,5,51,39.21568627450981,50.0,-10.784313725490197
CosPlace,nordland,6,44,45.45454545454545,40.0,5.454545454545451
CosPlace,nordland,7,31,16.129032258064516,30.000000000000004,-13.87096774193549
CosPlace,nordland,8,16,31.25,19.999999999999996,11.250000000000004
CosPlace,nordland,9,9,11.11111111111111,9.999999999999998,1.1111111111111127
