dataset,comparison,metric,difference_pp,CI_low,CI_high,p_raw,PWF_only_correct,comparison_only_correct,discordant,BH_FDR_q_18,significant_BH_0.05
amstertime,PWF - Visual-only,R@1,1.9496344435418311,0.8935824532900094,3.086921202274573,0.0007998400319936012,36,12,48,0.007198560287942411,True
amstertime,PWF - Visual-only,R@5,1.6246953696181898,0.8123476848090894,2.5182778229082103,0.0003999200159968006,25,5,30,0.007198560287942411,True
amstertime,PWF - Tuned-ConstTop10,R@1,-1.543460601137292,-2.5995125913891135,-0.5686433793663681,0.0023995200959808036,10,29,39,0.01439712057588482,True
amstertime,PWF - Tuned-ConstTop10,R@5,-0.8935824532900094,-1.8683996750609277,0.08123476848090894,0.07998400319936012,13,24,37,0.24115176964607077,False
amstertime,PWF - Tuned-SG,R@1,-0.3249390739236413,-1.5434606011372864,0.8935824532900094,0.6286742651469706,27,31,58,0.8082954837603907,False
amstertime,PWF - Tuned-SG,R@5,-0.8123476848091005,-1.7059301380991099,0.08123476848090894,0.10477904419116177,12,22,34,0.26943182792013026,False
msls,PWF - Visual-only,R@1,1.158301158301156,0.19305019305019266,2.316602316602312,0.039192161567686463,7,1,8,0.17636472705458908,False
msls,PWF - Visual-only,R@5,0.19305019305019266,0.0,0.579150579150578,0.734253149370126,1,0,1,0.8811037792441512,False
msls,PWF - Tuned-ConstTop10,R@1,0.19305019305019266,-0.9652509652509744,1.5444015444015413,0.8610277944411118,6,5,11,0.943434842443276,False
msls,PWF - Tuned-ConstTop10,R@5,0.0,0.0,0.0,1.0,0,0,0,1.0,False
msls,PWF - Tuned-SG,R@1,0.579150579150578,-0.579150579150578,1.9305019305019266,0.4399120175964807,7,4,11,0.7198560287942412,False
msls,PWF - Tuned-SG,R@5,-0.38610038610038533,-0.9652509652509633,0.0,0.2907418516296741,0,2,2,0.5233353329334134,False
nordland,PWF - Visual-only,R@1,-1.0000000000000009,-3.749999999999998,1.5000000000000013,0.5262947410517896,13,17,30,0.7894421115776845,False
nordland,PWF - Visual-only,R@5,-0.49999999999998934,-2.0000000000000018,0.99999999999999,0.5850829834033193,3,5,8,0.8082954837603907,False
nordland,PWF - Tuned-ConstTop10,R@1,1.749999999999996,0.0,3.749999999999998,0.08038392321535692,11,4,15,0.24115176964607077,False
nordland,PWF - Tuned-ConstTop10,R@5,-0.9999999999999898,-2.500000000000002,0.5000000000000004,0.25674865026994603,3,7,10,0.5233353329334134,False
nordland,PWF - Tuned-SG,R@1,1.2499999999999956,-0.7499999999999951,3.2500000000000084,0.26874625074985004,11,6,17,0.5233353329334134,False
nordland,PWF - Tuned-SG,R@5,0.2500000000000058,-1.5000000000000013,2.0000000000000018,0.8910217956408718,7,6,13,0.943434842443276,False
