dataset,comparison,metric,diff_pp,CI_low,CI_high,p_raw,discordant,PWF_correct,control_correct,q_BH12
amstertime,TunedConstTop10_fine,R@1,0.08123476848090894,-1.1372867587327362,1.2997562956945596,0.9466106778644271,61,546,545,0.9466106778644271
amstertime,TunedConstTop10_fine,R@5,1.0560519902518273,0.32493907392363575,1.8683996750609277,0.007998400319936013,25,808,795,0.03199360127974405
amstertime,TunedSG_fine,R@1,1.0560519902518273,-0.40617384240455023,2.5995125913891135,0.1975604879024195,93,546,533,0.3299340131973605
amstertime,TunedSG_fine,R@5,2.1933387489845635,1.1372867587327473,3.249390739236402,0.0003999200159968006,45,808,781,0.004799040191961607
msls,TunedConstTop10_fine,R@1,0.38610038610038533,-0.7722007722007707,1.5444015444015524,0.6470705858828234,10,442,440,0.7058951845994437
msls,TunedConstTop10_fine,R@5,0.7722007722007707,-0.19305019305019266,1.9305019305019266,0.1959608078384323,8,473,469,0.3299340131973605
msls,TunedSG_fine,R@1,0.579150579150578,-1.158301158301156,2.1235521235521304,0.5682863427314537,19,442,439,0.6819436112777445
msls,TunedSG_fine,R@5,0.7722007722007707,-0.38610038610038533,1.9305019305019377,0.2523495300939812,10,473,469,0.3364660401253083
nordland,TunedConstTop10_fine,R@1,-2.500000000000002,-5.249999999999999,0.0,0.07878424315136973,30,202,212,0.19292141571685661
nordland,TunedConstTop10_fine,R@5,2.749999999999997,0.7500000000000062,4.75000000000001,0.007598480303939212,17,315,304,0.03199360127974405
nordland,TunedSG_fine,R@1,-2.0000000000000018,-5.000000000000004,1.0000000000000009,0.21995600879824034,38,202,210,0.3299340131973605
nordland,TunedSG_fine,R@5,2.2499999999999964,0.0,4.749999999999998,0.08038392321535692,25,315,306,0.19292141571685661
