Dataset,Metric,Mechanism,Comparison,Difference_pp,CI_low,CI_high,bootstrap_p_two_sided,Significant_95CI_uncorrected,n_queries,n_boot,BH_FDR_q_value,Significant_after_BH_FDR_0.05,n_tests_in_family,BH_FDR_q_value_final21,Significant_after_BH_FDR_final21
AmsterTime,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.1624695369618178,-0.6498781478472826,0.3249390739236413,0.6370725854829035,False,1231,5000,1.0,False,27,0.941731653669266,False
AmsterTime,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.6498781478472826,-2.0308692120227456,0.7311129163281915,0.3999200159968006,False,1231,5000,0.8998200359928016,False,27,0.6998600279944011,False
AmsterTime,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-3.249390739236402,-4.955320877335501,-1.7059301380990988,0.0003999200159968,True,1231,5000,0.0107978404319136,True,27,0.0083983203359328,True
AmsterTime,R@1,SU weighting,C SU-only - B Fixed-Top10,1.7059301380991043,0.3249390739236357,3.086921202274573,0.0207958408318336,True,1231,5000,0.140371925614877,False,27,0.1091781643671264,False
AmsterTime,R@5,SU weighting,C SU-only - B Fixed-Top10,0.4061738424045558,-0.4061738424045447,1.2185215272136565,0.3979204159168166,False,1231,5000,0.8998200359928016,False,27,0.6998600279944011,False
AmsterTime,R@1,LU increment,D Full PWF - C SU-only,-0.8123476848090949,-1.624695369618201,0.0,0.0691861627674465,False,1231,5000,0.2335032993401319,False,27,0.18161367726454708,False
AmsterTime,R@5,LU increment,D Full PWF - C SU-only,0.0812347684809089,-0.5686433793663737,0.7311129163281915,0.914617076584683,False,1231,5000,1.0,False,27,1.0,False
MSLS held-out,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,0.7722007722007707,0.1930501930501926,1.5444015444015524,0.0347930413917216,True,518,5000,0.1565686862627474,False,27,0.12177564487102562,False
MSLS held-out,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,0.0,-0.9652509652509744,1.158301158301156,1.0,False,518,5000,1.0,False,27,1.0,False
MSLS held-out,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,-0.579150579150578,-1.5444015444015524,0.3861003861003853,0.3427314537092581,False,518,5000,0.8998200359928016,False,27,0.6998600279944011,False
MSLS held-out,R@1,SU weighting,C SU-only - B Fixed-Top10,0.1930501930501926,-0.7722007722007707,1.158301158301167,0.8530293941211757,False,518,5000,1.0,False,27,1.0,False
MSLS held-out,R@5,SU weighting,C SU-only - B Fixed-Top10,-0.1930501930501926,-0.5791505791505891,0.0,0.7530493901219756,False,518,5000,1.0,False,27,0.988377324535093,False
MSLS held-out,R@1,LU increment,D Full PWF - C SU-only,-0.3861003861003853,-1.158301158301156,0.3861003861003853,0.4375124975004999,False,518,5000,0.9086798025010382,False,27,0.7067509575008076,False
MSLS held-out,R@5,LU increment,D Full PWF - C SU-only,0.0,0.0,0.0,1.0,False,518,5000,1.0,False,27,1.0,False
Nordland-aligned,R@1,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,1.749999999999996,0.2500000000000002,3.4999999999999973,0.041991601679664,True,400,5000,0.1619676064787042,False,27,0.125974805038992,False
Nordland-aligned,R@5,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,3.500000000000003,1.0000000000000009,6.000000000000005,0.00999800039992,True,400,5000,0.1349730053989202,False,27,0.10497900419916,False
Nordland-aligned,R@10,Pool restriction,B Fixed-Top10 - A Fixed-FullDB,3.999999999999993,1.0000000000000009,7.000000000000006,0.015996800639872,True,400,5000,0.140371925614877,False,27,0.1091781643671264,False
Nordland-aligned,R@1,SU weighting,C SU-only - B Fixed-Top10,3.2499999999999973,0.5000000000000004,6.0,0.027994401119776,True,400,5000,0.1511697660467906,False,27,0.11757648470305919,False
Nordland-aligned,R@5,SU weighting,C SU-only - B Fixed-Top10,-0.5000000000000004,-2.2499999999999964,1.2499999999999956,0.6726654669066187,False,400,5000,1.0,False,27,0.941731653669266,False
Nordland-aligned,R@1,LU increment,D Full PWF - C SU-only,-0.2499999999999946,-2.2500000000000075,1.999999999999996,0.9098180363927214,False,400,5000,1.0,False,27,1.0,False
Nordland-aligned,R@5,LU increment,D Full PWF - C SU-only,0.7499999999999951,-0.5000000000000004,2.0000000000000018,0.3495300939812037,False,400,5000,0.8998200359928016,False,27,0.6998600279944011,False
